type,author,text
comment,@akmalarief4695,Sebutin doong produk apa aja
comment,@ilhamwiyoto2273,Izin halalnya dari mana?
comment,@dewipuspitasari8709,Kelalaian negara
comment,@PakDarno-zf2mm,Bpom wajib bertanggungjawab
comment,@UstadHelmi,Kenapa diberi sertifikat Halal ??
comment,@RudiAnto-d7x,Intinya saya ngga tau... Yang nanggung dosanya yang punya pabrik.
comment,@SalmanMg,"Bpom harusnya berisi orang"" yg mumpuni dri segi agama...karena klu tdk bpom akan menjadi ajang bisnis, sangat mengerikan !"
comment,@HabibiSaid-k3h,Akibat dari tamak akal tak ada gunanya 😂
comment,@maskarebet5372,Semakin mengawatirkan negeri ini.
comment,@MohdrafiebinrahmatTomeir-fj2kd,Bygkan jika Msia tidak dedahkan
comment,@FatmaNini,Sebutkan nama barang nya lebih bijak kalo gak di tampakan sama hal nya yg memberitakan ikutan  juga dosanya
comment,@zuraidaaeschbacher4136,ASTAGHFIRULLAH  SETIAP KALI  DI TANYA  soal. ada DNA yg haram  PASTI. Bapak HAIKAL. HASSAN. BERBOHONG . . .  DAN. DIA. BELUM. PERNAH. MEMOHON. MAAF. KPD. RAKYAT. INDONESIA 🇮🇩  DAN MALAYSIA  YG. BERAGAMA. ISLAM.    DI. ATAS. KESILAPAN  BELIAU
comment,@rosnani1859,"SEHARUSNYA TDK HNYA DICABUT PRODUK DAN IZINNYA TAPI HARUS DIHUKUM, BUKAN LG MAMPIR TAPI UNSUR SENGAJA ITU, HARUS DIHUKUM. KOK TDK DI PIDANA?"
comment,@AndiPeras,Penjarakan aj yg punya produk
comment,@MuhammadIdrus-j7o,Pejabat ny mata duitan ..dikasih duit matapun berkunang2 ...
comment,@MuhammadAthar-vj5ro,"Tolooooong Segera di Tindak lanjuti apa bila terbukti agar dproses sesuai prosedur hukum apabila terbukti melanggar agar di pidana, dan di tutup perusahaan  ini sangat berbahaya kepada seluruh umat muslim di RI yg kita cintai yg mayoritas dinegara ini. Semangat aparat penegak Hukum ❤❤❤❤🤲🤲🤲👍"
comment,@evantoevanto5611,Sejak Sertifikat Halal dirubah dari MUI ke BPJPH dibawah kemenag oleh Yaqut semuanya jadi rusak.
comment,@hendrabandung9094,"Bisa laah, kan ini negri konoha"
comment,@ENO_BORNEO,Yang dosa yg membuat produk dan yg membuat label halal...yg memakan karena tidak tahu insyaallah gak dosa
comment,@MohamadhafizHafiz-tj4zi,nasib baik dapat tahu dari malaysia kalau tak korang pun tak tahu pasal ni😢
comment,@MohdRafiTomeirafi-yt8cd,"Ketangkep di Malaysia 
tapi yg kalang kabut 
kok di Indo 😂😂"
comment,@shindynadia4045,Klu bukan karena majelis ulama Malaysia yg mengesan pasti di Indonesia pada diem2 semua menteri agama Indonesia fungsi dan kinerjanya apa saya juga kurang tau
comment,@Yazir2Tambi,Asal kan uwang nya besar pasti dilepas dan di halal pemimpin  korup
comment,@PosmanSiagian-j9x,Itu urusan MUI haram halal kok gak tau
comment,@BonengAja-r7m,"Sebut nama produk nya biar masyarakat tau, jadi gak sekedar berita saja, biar jelas"
comment,@BaPak-w2n,Hukum dan takap pak penipuan kasian yg terjebak barang haram
comment,@BaPak-w2n,Ya kalau gitu diawasi lebih ketap pk penjarakan yg tipu tipu pak
comment,@putrarantau7687,Harus seret ke ranah hukum yg melabelkan halal.biat jera
comment,@MSofian892,for children's this product pigs ...So i no ideals this idealS ...lol❤👎😂✌
comment,@HaslindaLinda-n1i,Alhamdulilllah  sy  tdk pernah beli
comment,@LimpungBtang-sm5qv,lagu lama dh basi .dari dulu cuma cari sensasi..di bublik..pejabat ga punya kerjaan..cetuskan program kedepan..jangan trasi yg dah busuk diungkit ungkit terus. Kalau gak bisa cetuskan program unggulan mundur saja..Mbah peot..
comment,@irsanbagussaptono3280,Menteri agama yagult harus bertanggung jawab terhadap hal biadab ini. Jangan cuman mau duitnya doang
comment,@AchmadGhazali-p4c,Itu tak masalah......yg penting MUI panen duit. Contoh: kulkas saja ada stiker halal. Apa hubungan dengan yg di haramkan? MUI tak waras.
comment,@elangsirkmajalah3715,Siapa yg ngluarin jaminan halal?
comment,@malissahmaskam8557,Itulah indonesia
comment,@mahmudsuzana3344,Sungguh memalukan...
comment,@arifinkragan,biasa uang bos.
comment,@AnanAdif,Kode hallal dpt di perjual belikan...
comment,@salimali7093,"Kok bisa. Ini kesalahan yg besar sekali. Adakah  disengajakan atau petugas2 n pegawai2 yg terbabit mengambil tugas dg sambil lewa atau demi rasuah. Perbuatan mereka yg rakus demi semata2 kekayaan n keberuntungan sangat dikesalkan terutama oleh umat Islam. Penipuan adalah sesuatu yg diharamkan oleh Islam. Bagaimana pula makanan2 kering saperti mee segera dari Indonesia yg disahkan halal? Keadaan kecuaian dlm mengkonfimasi sijil halal menimbulkan resah umat2 islam dari Spura, Malaysia n Brunei. Yg terbabit harus kembali ke pada Ya Rabb."
comment,@salmanman6771,Mantap pak klo halal' bilang halal dan klo haram bilang haram jgn menipu orang orang islam rangkap pelaku nya
comment,@asiahbaky9235,"Tutup pabriknya dulu klo melanggar undang""."
comment,@hasniangsana1294,Produk ini patut diharamkan kerana melakukan penipuan PRODUK HALAL dan pemiliknya dihukum
comment,@Prajurit7179,"Menunjukkan bahwa pengelolaan jaminan produk halal, tidak bekerja dengan baik"
comment,@mantanteknisi2000,Ya bisa saja karena pejabat bisa di sogok pakai uang
comment,@alucaddyroth4928,Alhamdulillah ttap sllu di awasi produk apapun itu 👍👍👍👍👍
comment,@azmanmoya798,Semoga saudara umat Islam di Indonesia   diselamatkan oleh kebijakan di sana
comment,@novasiswanto3849,"Yaelah cuma sanksi sanksi cuma peringatan. Mana takut....!!!
Lagian lucu ya sertifikasi halal tugasnya cuma melabeli doang ? Gk ada penelitan dulu. Baru di labeli. Aneh...!!! Baru deh ketahuan sibuk pembelaan sibuk menyalahkan sana sini. Lucu"
comment,@novasiswanto3849,Apa kata dunia😂😂😂😂😂😂😂
comment,@Baim14155,Cek tu pak...nanti legalitasnya di manipulasi pak..
comment,@Number-xy2ns,Sanusi nya apa??????
comment,@Nurman8-df2id,Seharusnya yg mengeluarkan Sertifikat HALAL yg  harus di  periksa duluan ...ada apa ......??!
comment,@ZaenudinUsman,Walaupun bersertifikat halal belum tentu halal karena yg memberikan sertifikat halal belum tentu halal😢😢😢
comment,@SamsudinMohdAli,🎉🎉🎉 🕺🎸🪕🎼🎵🎶🎶🎶🎶 ... jogetin aja !!!
comment,@imamkambali6180,Kerja yang jujur
comment,@MuntiyarMuntiyar-fd7zb,MUI apa kerja anda makan gaji saja
comment,@rudisusilo7963,Satu kata pengusahanya yg sengaja penjarakan
comment,@SasukiMajido,Sya mahu tanya kpd masarakat islam indonesia .. perkahwinan perzinahan islam dn kerstin HALAL atau tidak HALAL ...
comment,@lollycillo4549,"Tarik, tindak tegas, beri efek jera"
comment,@Anjar18_01-q8j,Itulah tujuanya kenapa MUI tidak lagi di beri wewenang menerbitkan sertifikat halal
comment,@MohdHedzri,"Ya Allah Kau azab lah maraka. 
Pengkinat umat islam ya Allah."
comment,@AekBiru-k6z,"Kita hati"" saja lah 
Makanan"" 
Terlebih dari luar"
comment,@MuhammadSani-ug3mf,Bpjh harus perketat dan di awasih apalagi banyak produk produk yang kadar luarsa ini harus di awasih terus menerus
comment,@Driverpuncakbogor79,Tutup dong pabrik nya
comment,@memyr6714,𝖮𝗋𝖺𝗇𝗀 𝗈𝗋𝖺𝗇𝗀 𝖽𝗂 𝖻𝖺𝖽𝖺𝗇 𝗉𝖾𝗇𝗃𝖺𝗆𝗂𝗇 𝗁𝖺𝗅𝖺𝗅 𝗂𝗇𝖽𝗈𝗇𝖾𝗌𝗂𝖺 𝗁𝖺𝗋𝗎𝗌 𝖽𝗂𝗉𝖾𝗋𝗂𝗄𝗌𝖺. 𝖪𝖾𝗇𝖺𝗉𝖺 𝖻𝗂𝗌𝖺 𝗆𝖾𝗆𝖻𝖾𝗋𝗂𝗄𝖺𝗇 𝗅𝖺𝖻𝖾𝗅 𝗁𝖺𝗅𝖺𝗅. 𝖠𝖽𝖺 𝖺𝗉𝖺 𝗌𝖾𝖻𝖾𝗇𝖺𝗋𝗇𝗒𝖺 𝗂𝗇𝗂?
comment,@firaaulia5051,ayo tarik semua
comment,@DarwisyahDarwisyah-e1g,Kok gk jelas poroduk apa aja.
comment,@ninijayhariz,ada banyak agenda jahat yang dilakukan Pergerakan Iluminati Sedunia ( Ketua Kesemua Pergerakan Zionis/Freemasonary ) disebalik kes ini . 1- Untuk merosakkan kesihatan tubuh dan kebijaksanaan otak Umat Islam. 2- Untuk menjatuhkan ketinggian standard Sijil Halal Indonesia. 3- Untuk merosakkan dan memberi imej buruk kepada peniaga muslim yang secara tidak sengaja menjual bahan2 haram ini.
comment,@anothera727,"Di indonesia banyak badan dan departement yang nggak becus kerja, selama ini makan gaji buta, memalukan !!"
comment,@YashedHasan,Tangkap Bosnya PAK
comment,@usronbrt1561,Siapa yang meloloskan nya...dia bertanggung jawab dunia dan akhirat nya.
reply,@oecisanusi1824,Pasti alasannya logo palsu 😂😂
reply,@mawa_farm,"​@@oecisanusi1824 emang biasanya cap palsu, kalo tau masukin barang ke minimarket itu gampang, dan banyak produsen yang rebrand produk juga, kalo saya pribadi emang pernah bikinkan kemasan prodak dari orang NoNis, dan ada logo Halalnya masuk minimarket juga, untuk masalah ini saya dari pihak percetakan memang tidak menanyakan terlebih dahulu sertifikasi halalnya ada beneran apa nggak, itu (logo halal) pesanan dari customer."
comment,@LukmanTamboccy,Mereka lah yg menanggung dosa nya dasar rakus
comment,@joeaziz7490,Hanya di Konoha prindavan... Label halal belum tentu halal 😭😭😭
comment,@sukemikemi1837,Tutup produsen TDK jujur
comment,@sukemikemi1837,"Kalau tdk d tarik produsen, sita dari peredaran aja."
comment,@sukemikemi1837,Kok bisa bersertifikat halal ya
comment,@Ahmadpaojan-z2p,Wawarafuk.boos.
comment,@Ahmadpaojan-z2p,Menteri.agama.apa.bos
comment,@joyosukran9708,"Haikal Hasan ,ooooalah,."
comment,@omihlaelawati2360,Bagi yg berwenang Kerjalah kalian semua yg bnr.jgn selallu melanggar.knp dh trsebar dan udah di mkn baru heboh tdk halal.kerja yg bnr! Ga tkt dosa apa?! Atau kurg sogokan baru dipiralkn tdk halalal!
comment,@pongan18channel85,"Logonya dulu, certnya kemudian ... ujungnya tertipu..di mlysia, jakim geledah semua...sukar mau menipu."
comment,@abiazka1948,Apa saja mereknya nanti masyarakat pada tau jadi masyarakat tidak membelinya.
comment,@ZainulNul-r8i,Label halal tidak sesuai tulisannya maka fungsinya pun gak ada guna
comment,@rosmarizajusoh3004,Jangan percaya pada ingredian yg dikeluarkan pengeluar @ ppt tetapi sebagai badan yg berwajib wajib di uji setiap bahan untuk di pasarkan kepada orang muslim.. setiap negara yg pengeluarnya drp non muslim jangan hanya percaya pd ingredian mereka.. Non muslim sangat jahat mereka mahu kita seperti mereka makan yg tidak halal..
comment,@jihadarsitek7761,"Yang punya label halal....yang banyak uang NYA,bisa diatur oleh pemilik cap HALAL."
comment,@rosmarizajusoh3004,Jangan percaya pada ingredian yg dikeluarkan pengeluar @ ppt tetapi sebagai badan yg berwajib wajib di uji setiap bahan untuk di pasarkan kepada orang muslim
comment,@yudhar1448,harus diusut pak karena penipuan terhadap masyarakat.
comment,@imamsabirin9217,"he dimana otak kalian yg sudah menipu, makanan haram dikasih lebel haram"
comment,@veranisa-y4x,Pom bagian tsb kurang teliti
comment,@biungemamake3589,Ada apa sih negara ini  hdbat kan negara kita
comment,@GalangPagar,SEHARUS NYA PRODUKSEN DIBERIKAN DENDA DAN HUKUMAN CABUT IJIN USAHA NYA ATAS KESENGAJAAN MEMAKAI BAHAN YANG TERLARANG DAN TAK HALAL PENIPUAN😮
comment,@GalangPagar,APA TUGAS DAN FUNGSI BPOM KALAU TERNYATA PRODUK HARAM SAMPAI LOLOS DIPASARAN BERARTI TAK ADA PENGAWASAN YANG DILAKUKAN SETELAH VIRAL BARU BERTIDAK😢
comment,@herijujur5608,"Halal haram, demo, sudah bagian dari kebiasaan"
comment,@rokiahabdkarim6933,Haikal hasan jawab
comment,@HairulAmpahChanel,Saya yakin ini terjadi di jaman Mulyono tadi dan baru ketahuan sekarang
comment,@matsarif5784,Di buat waktu menteri agama yaqut
comment,@oc5wn,"Kerjaannya yaqul,makanya dia ambil alih Lebel halal...."
comment,@panjianas590,"Jgn hanya dihukum begitu pak,Denda uang juga itu bikin jera.kalau hanya ditarik saja, keenakan mereka.... besok diulangi lagi, pasti tu......"
comment,@Anitahijrah,Apa saja itu?
comment,@Jamal-uk3os,Logo halal pastinya dijual Aja sendikit jualan..untung 😅😅negara mendapat maluin 😅😅😅
comment,@arjan7669,Dampak 10 tahun pemimpin yang kacau.
comment,@jeffsparrow6922,Buat tanda halal memenglah senang tapi kalau tidak ada pengawasan pemerintah susah
comment,@ariebastian8259,"Efek pejabat suap,asal bapak senang,jadinya begini"
comment,@jumirah-hc2tw,"Alhamdulillah,iya Pak .kalau tidak halal cantumkan tidak halal.biar kita bisa pilih."
comment,@cendana67,"Sudah nyata apa yg pernah disampaikan oleh sang ""tokoh"".bahwa dalam segala hal bangsa ini masih mudah untuk di 'apusi'(jawa).mari kita saling berbenah jika kita masih mencintahi negeri ini.terutama para penyenggara negaranya🙏"
comment,@tyasrahmani9822,Astaghfirullah ada apa dengan negeriku?
comment,@NatashrinTony,Tahniah Malaysia....dapat kesan
comment,@NatashrinTony,Sila jawab diakhirat
comment,@NatashrinTony,Patut lah BYK benda yg Allah SWT murka terhadap Indonesia.   Benda mkn jadi darah daging .... Tak berkat...
comment,@Dibu4nk.S4y4nk,"Itu yang namanya KECOLONGAN......dah nyebar baru heboh
Trus apa gebrakan dari Wakil Presiden......ada ga...??? Klo ga ada ganti aja Wapres nya 😂😅😂😅"
comment,@OppoA05-h9d,"PEMERINTAH  HARUS JATUHKAN SANGSI  CABUT IZIN, KARENA #  KEBOHONGAN PUBLIK #"
comment,@irwanresya,masyarakat di racun
comment,@fatiadaud677,Kurang pengwasan atau kurang duit
comment,@fatiadaud677,"Masak ber  belit"" ngomongnya , produknya ngak di sebutin , aneh koar"" melulu"
comment,@pakdinokilau62din16,Tindakan kebijakan proses hukum selanjutnya apa😮saman penjara
comment,@nasrilnasir8252,Sangsi yang terllu ringan .Bawak keranah hukum dan proses .ini masalah akidah umat Islam
comment,@iseng87chanel35,Semua gara2 yaqut
comment,@azharbuwana2474,"Jgn hanya di tarik produk tsbt,tapi proses hukum wajib di terspkan"
comment,@annazhafira2455,Wah nh di sogog
comment,@annazhafira2455,Kacau
comment,@ariefnuryanto9335,Mantan mentri Agama ngk ada lg kbre? Padahal dia harus bertanggung jawab negeri ini
comment,@ThaniaClarissa-q2w,"Saya hanya bisa ketawa begitu teganya kalian yang mayoritas membuat berita2 buat pengalihan biar netizen2 tertuju sm berita ga pentg sementara oknum2 tetep berjalan korupsinya, indonesia gt loh gampang dikagetkan"
comment,@SNIPER_23,"Akibat pengurusnya pengen kaya cepat,trus Lebel halal pun di beri"
comment,@MegaServie-um5dz,Bagaimana dan apa tindakan BP POM.sebab bagi orang2 vdiluar vIslam gak sulit memberi label halal walau di vdlm ada unsur haram. Kiranya sudah berapa lama olahan tsb beredar ? Tolong jangan biarkan orang2 yg kurang ajar. Sebaiknya disegel dulu perusahaan nakal. Jangan2 prosuk2 lain semisal susu2 vformula dan produk lain
comment,@ahmad_baedowi_,Aparat pemerintah khususnya petugas BPOM lebih teliti lagi dan jgn sampai mau di bayar untuk  menghalalkan produk yg haram... tanggung jawabnya berat di akhirat nanti
comment,@achmadriyadi1149,"Label halalnya dari mana?  Asal sertifikasi aja, Ndak jelas...??!"
comment,@Asep-k4u,Pejabat kita yg ad d otaknya cma uang uang dan uang krna hatinya kerasup gya hdup mewah.
comment,@TestTest-pb7wv,😂😂😂DI SEBUT DONG PRODUK NYA JANGAN CUMA OMON OMON DOANG PASTI TAKUT DENGAN BOS PERUSAHAAN 😂😂😂😂😂😂
comment,@TestTest-pb7wv,😂😂😂😂😂😂😂😂
comment,@indanahsugiati9060,Benar pk kalau berbohong pasti ketahuan apalagi untuk seluruh orng islam
comment,@SuryaSurya-ij6vi,"Pemerintah jangan diharapkan, dia hanya mempermudah perusahaan pembongkaran itu.... Ormas dan masyarakat yg harus bergerak"
comment,@rubianasammutiara7554,Udah bener otoritas  halal dikeluarkan mui bukan kementrian agama ato bpjh
comment,@usmanumar3874,"Inilah asal tempel atau ada sesuatu ya,biar kalian tanggung dosa orang banyak ini ya"
comment,@misranmisran60,Disengajakan supaya umat Islam tak ingat Alla
comment,@ramdhangilang6084,Terus setelah ketahuan cukup di tarik 😅
comment,@sinyalkuatchannel4931,Karena badan yang berwenang di duduki pejabat pejabat munafik seperti itu..
comment,@purwantiningsih6549,Inilah Negeri KONOHA 😊
comment,@iderismohamed1162,Mereka yang mengeluarkan sijil halal harus didakwa dan dipenjara 20 tahun.Duit punya pasal yg haram dihalalkan.Penyakit rasuah melanda indonesia dan wajib digempur habis habisan.
comment,@zulwaheers3006,"Udah tw ada indikasi B2 dari bulan Januari, trs kenapa g' di suspended dlu tuh produk?
Sampai terbukti kehalalannya.

Kan lumayan tuh 4bln g ngumpanin umat muslim ngemil B2.."
comment,@zubaedahzubaedah631,Wajib diuumkam nama produknya
comment,@AhmadAmaludin-hv6jb,"MUI biasanya yg berperan sebagai pencetak label halal dan haramnya,,??? Suatu produk yang dijual di Indonesia,,??? Kok bisa lolos seleksi label halal,,??? Kan ada BPOM,,, di tambah petugas pengkajian makanan dan minuman,,, Kok bisa,,???"
reply,@AhmadAmaludin-hv6jb,"Pantas saja mayoritas penduduk lokal Indonesia banyak yang dongkol atau kebelet dalam menimba ilmu dan bawaannya untuk maksiat saja,,,??? ternyata sehari harinya makan dan minum mengandung unsur-unsur yang di haramkan menurut syari'at ajaran Islam,,,, Sekarang yg diharapkan hanya Ridhonya Allah SWT apa apa yg kita minum dan makan mudah mudahan terlepas dari kandungan yang haram,,, Aamiin itu untuk pribadi saya sebagai awam dalam meneliti makanan dan minuman yang di beli dari produk atau pasar pasar"
comment,@nkve,Ini terjadi semua kerana KORUPSI … dari Pertamina sampai ke sijil Halal pon boleh   dikorupsikan. Hmm Indonesia 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️
comment,@illzyaz,Benar tuh kata bebe haikal.
comment,@heriajo3947,Kok bisa ? yg memberi sertifikat halal itu dari siapa ya ? seharusnya diuji dulu baru terbit sertifikat. harus diselidiki siapa yg bermain.
comment,@Nabilaazahra-yz2hn,Gak usah pake logo halal.yg haram aja bisa di jual belikan.aturan tinggal basa basi doang dasar cuma huntu
comment,@Acut-m3k,"BPOM JGN MAKAN GAJI BUTA AJA, HARUS LEBIH TELITI , JGN ASAL NGECAP AJA LOGO HALAL,  PECAT AJA PEGAWAI NYA."
